date,scanner_id,shift,shift_start,shift_end,technologist_id
2023-01-02,SC01,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH04
2023-01-02,SC01,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH01
2023-01-02,SC02,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH09
2023-01-02,SC02,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH08
2023-01-02,SC03,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH08
2023-01-02,SC03,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH05
2023-01-02,SC04,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH04
2023-01-02,SC04,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH18
2023-01-02,SC05,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH03
2023-01-02,SC05,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH19
2023-01-02,SC06,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH14
2023-01-02,SC06,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH02
2023-01-02,SC07,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH01
2023-01-02,SC07,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH03
2023-01-02,SC08,AM,2023-01-02 07:00:00,2023-01-02 15:00:00,TECH07
2023-01-02,SC08,PM,2023-01-02 13:00:00,2023-01-02 21:00:00,TECH08
2023-01-03,SC01,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH17
2023-01-03,SC01,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH20
2023-01-03,SC02,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH01
2023-01-03,SC02,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH18
2023-01-03,SC03,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH07
2023-01-03,SC03,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH18
2023-01-03,SC04,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH14
2023-01-03,SC04,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH08
2023-01-03,SC05,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH15
2023-01-03,SC05,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH19
2023-01-03,SC06,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH09
2023-01-03,SC06,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH01
2023-01-03,SC07,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH06
2023-01-03,SC07,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH14
2023-01-03,SC08,AM,2023-01-03 07:00:00,2023-01-03 15:00:00,TECH11
2023-01-03,SC08,PM,2023-01-03 13:00:00,2023-01-03 21:00:00,TECH09
2023-01-04,SC01,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH05
2023-01-04,SC01,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH07
2023-01-04,SC02,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH11
2023-01-04,SC02,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH04
2023-01-04,SC03,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH03
2023-01-04,SC03,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH13
2023-01-04,SC04,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH04
2023-01-04,SC04,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH12
2023-01-04,SC05,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH12
2023-01-04,SC05,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH20
2023-01-04,SC06,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH09
2023-01-04,SC06,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH02
2023-01-04,SC07,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH15
2023-01-04,SC07,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH18
2023-01-04,SC08,AM,2023-01-04 07:00:00,2023-01-04 15:00:00,TECH04
2023-01-04,SC08,PM,2023-01-04 13:00:00,2023-01-04 21:00:00,TECH13
2023-01-05,SC01,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH03
2023-01-05,SC01,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH18
2023-01-05,SC02,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH10
2023-01-05,SC02,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH20
2023-01-05,SC03,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH12
2023-01-05,SC03,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH19
2023-01-05,SC04,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH07
2023-01-05,SC04,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH03
2023-01-05,SC05,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH02
2023-01-05,SC05,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH08
2023-01-05,SC06,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH10
2023-01-05,SC06,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH03
2023-01-05,SC07,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH08
2023-01-05,SC07,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH04
2023-01-05,SC08,AM,2023-01-05 07:00:00,2023-01-05 15:00:00,TECH13
2023-01-05,SC08,PM,2023-01-05 13:00:00,2023-01-05 21:00:00,TECH09
2023-01-06,SC01,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH15
2023-01-06,SC01,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH12
2023-01-06,SC02,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH06
2023-01-06,SC02,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH12
2023-01-06,SC03,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH12
2023-01-06,SC03,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH07
2023-01-06,SC04,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH09
2023-01-06,SC04,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH03
2023-01-06,SC05,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH20
2023-01-06,SC05,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH06
2023-01-06,SC06,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH18
2023-01-06,SC06,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH08
2023-01-06,SC07,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH06
2023-01-06,SC07,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH15
2023-01-06,SC08,AM,2023-01-06 07:00:00,2023-01-06 15:00:00,TECH13
2023-01-06,SC08,PM,2023-01-06 13:00:00,2023-01-06 21:00:00,TECH09
2023-01-09,SC01,AM,2023-01-09 07:00:00,2023-01-09 15:00:00,TECH18
2023-01-09,SC01,PM,2023-01-09 13:00:00,2023-01-09 21:00:00,TECH08
2023-01-09,SC02,AM,2023-01-09 07:00:00,2023-01-09 15:00:00,TECH11
2023-01-09,SC02,PM,2023-01-09 13:00:00,2023-01-09 21:00:00,TECH02
2023-01-09,SC03,AM,2023-01-09 07:00:00,2023-01-09 15:00:00,TECH08
